Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1980;0.2424;0.0457;;
1981;0.242;0.0441;;
1982;0.2477;0.0448;;
1983;0.243;0.0449;;
1984;0.2438;0.0454;;
1985;0.2487;0.0481;;
1986;0.2562;0.0519;;
1987;0.2707;0.0603;;
1988;0.2806;0.0703;;
1989;0.2639;0.059;;
1990;0.2605;0.0569;;
1991;0.2692;0.0586;;
1992;0.2712;0.0598;;
1993;0.2744;0.0622;;
1994;0.2775;0.0646;;
1995;0.274;0.064;;
1996;0.2722;0.0644;;
1997;0.2813;0.0688;;
1998;0.2822;0.0703;;
1999;0.2933;0.0787;;
2000;0.2965;0.0819;;
2001;0.2853;0.0757;;
2002;0.2912;0.0789;;
2003;0.2899;0.0809;;
2004;0.2921;0.0839;;
2005;0.2998;0.0869;;
2006;0.3114;0.095;;
2007;0.3013;0.0909;;
2008;0.2865;0.0808;;
2009;0.2987;0.084;;
2010;0.3009;0.0859;;
2011;0.2989;0.0824;;
2012;0.3106;0.0854;;
2013;0.3188;0.0907;;
2014;0.3207;0.091;;
