Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1980;0.37233;0.08884;;
1981;0.36472;0.08546;;
1982;0.36576;0.08892;;
1983;0.36663;0.08762;;
1984;0.36114;0.08727;;
1985;0.35872;0.0888;;
1986;0.36217;0.09153;;
1987;0.36566;0.0988;;
1988;0.37066;0.10741;;
1989;0.38195;0.11903;;
1990;0.36326;0.10182;;
1991;0.37162;0.10288;;
1992;0.37803;0.1047;;
1993;0.390328084785;0.112879378843;;
1994;0.410974077583;0.113878745554;;
1995;0.38592991021;0.10897215677;;
1996;0.392012439044;0.115042975087;;
1997;0.399363665754;0.124583394619;;
1998;0.403856841376;0.129923403226;;
1999;0.403877915344;0.132473633518;;
2000;0.416210781976;0.146217248181;;
2001;0.407782907038;0.138454952264;;
2002;0.406066822259;0.133463141043;;
2003;0.405302240166;0.132286007946;;
2004;0.411055338933;0.139682316705;;
2005;0.41722050305;0.147289661115;;
2006;0.423956915383;0.154264455942;;
2007;0.425364161319;0.15631596813;;
2008;0.415477541097;0.143774375703;;
2009;0.410122137213;0.132984428491;;
2010;0.413837987057;0.13623251732;;
