Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1980;0.258548169196;0.0547177147481;;
1981;0.25819644847;0.0537682384572;;
1982;0.252811051848;0.0521372814774;;
1983;0.249948681319;0.0527044703833;;
1984;0.247285285338;0.0526441760057;;
1985;0.245890312957;0.0521227378873;;
1986;0.245102466066;0.0515063273458;;
1987;0.249478941845;0.0524474110715;;
1988;0.250694456232;0.0517788082298;;
1989;0.250592171139;0.0523623289204;;
1990;0.251003486392;0.0516990175362;;
1991;0.248183605812;0.0501147436603;;
1992;0.248648210568;0.050155365661;;
1993;0.249397044703;0.0513122612299;;
1994;0.245940477908;0.0500377534095;;
1995;0.245820961054;0.0503484601561;;
1996;0.246568230335;0.0511977219972;;
1997;0.249049787178;0.0524412910617;;
1998;0.250904334694;0.0540043441935;;
1999;0.253450563208;0.0547281356916;;
2000;0.256657261851;0.0573006949523;;
2001;0.256134651939;0.0562413808984;;
2002;0.255353836624;0.0554540701329;;
2003;0.254253958531;0.0550186939068;;
2004;0.254396484164;0.0556569316808;;
2005;0.256571060776;0.0578119934654;;
2006;0.25729985736;0.0591270147453;;
2007;0.260145134054;0.061201959027;;
2008;0.26167192375;0.0605180896602;;
2009;0.254406550819;0.0543752791156;;
2010;0.26878179126;0.0641460909108;;
