Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1980;;0.0431892194635;;
1981;;0.0396032333663;;
1982;;0.035494509004;;
1983;;0.0348903969816;;
1984;;0.0411078306428;;
1985;;0.0402584786801;;
1986;;0.0385570117006;;
1987;;0.0502515217859;;
1988;;0.0495848365734;;
1989;;0.0470277938585;;
1990;0.27691;;;
1991;0.27283;;;
1992;0.27125;;;
1993;0.27815;0.05716;;
1994;0.28239;0.0567;;
1995;0.28326;0.0613;;
1996;0.28218;0.05932;;
1997;0.29291;0.06833;;
1998;0.29896;0.07623;;
1999;0.31373;0.0946;;
2000;0.32173;0.09965;;
2001;0.30764;0.08858;;
2002;0.30434;0.08659;;
2003;0.30682;0.08758;;
2004;0.31436;0.09653;;
2005;0.29733;0.076;;
2006;0.30689;0.08389;;
2007;0.30871;0.08258;;
2008;0.32757;0.08498;;
2009;0.32503;0.07457;;
