Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1980;0.30626589;0.081749298;0.5164578;0.1720697
1981;0.3019439;0.082139798;0.50909048;0.1667469
1982;0.29281881;0.0751656;0.50245392;0.1617877
1983;0.29415661;0.073300697;0.50010192;0.1592766
1984;0.29715991;0.074687198;0.49975359;0.1580372
1985;0.30278131;0.0773739;0.5013715;0.1613958
1986;0.31210181;0.082470201;0.50565809;0.16787329
1987;0.32091939;0.090191498;0.50498861;0.1705865
1988;0.32561809;0.091550402;0.50490057;0.1736979
1989;0.3276318;0.095200099;0.50755841;0.1765921
1990;0.3219381;0.093315601;0.50271708;0.1718258
1991;0.32081151;0.091471799;0.50654238;0.1809158
1992;0.31377709;0.0861618;0.51005298;0.17498089
1993;0.31743541;0.0908591;0.51213211;0.18789551
1994;0.31754851;0.091785803;0.51199359;0.1932383
1995;0.31714171;0.092258602;0.51116651;0.1964225
1996;0.32228339;0.100334;0.54006928;0.23320881
1997;0.3249146;0.1043781;0.55238479;0.2530818
1998;0.3276591;0.1067388;0.56328428;0.2669858
1999;0.32738411;0.1060159;0.56875861;0.27835509
2000;0.33092979;0.110256;0.57056248;0.28112301
2001;0.3341839;0.1131867;0.56108272;0.27050111
2002;0.32850209;0.109487;0.54605693;0.25402331
2003;0.33245531;0.1135222;0.53840888;0.2461832
2004;0.33534369;0.1161719;0.52969909;0.2376418
2005;0.3337996;0.1147103;0.52372819;0.22511061
2006;0.3318305;0.1123553;0.52814662;0.2213207
2007;0.33873069;0.1168608;0.53588831;0.22374851
2008;0.3372581;0.1156988;0.5320344;0.2159293
2009;0.32173499;0.1017548;0.54052591;0.21701071
2010;0.3260462;0.108437;0.55913639;0.23506591
2011;0.3323535;0.1145293;0.55074179;0.2297551
2012;0.3221899;0.1043197;0.54512137;0.2235779
2013;0.32631651;0.1079456;0.54851592;0.2290456
2014;0.32629251;0.1079653;0.55276471;0.23378859
