Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1980;0.318529539409;0.107182989106;;
1981;;;;
1982;;;;
1983;0.31356235589;0.0993265109733;;
1984;;;;
1985;;;;
1986;0.320979758029;0.105181403672;;
1987;;;;
1988;;;;
1989;0.335445691141;0.114359822319;;
1990;;;;
1991;;;;
1992;0.335036141865;0.105731034989;;
1993;;;;
1994;;;;
1995;0.318036103489;0.0915001560281;;
1996;;;;
1997;;;;
1998;0.355423829832;0.119256125454;;
1999;;;;
2000;;;;
2001;0.36167243;0.11404011;;
2002;0.36110417;0.11050627;;
2003;0.355188;0.10538187;;
2004;0.36009811;0.11103399;;
2005;0.38512098;0.12933351;;
2006;0.38352993;0.13224881;;
2007;0.39545337;0.14035784;;
2008;0.40028557;0.14516539;;
2009;0.39821761;0.13174146;;
2010;0.39703506;0.13131284;;
