Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1980;0.16968;0.02632;;
1981;;;;
1982;0.16657;0.02552;;
1983;;;;
1984;0.15286;0.02474;;
1985;;;;
1986;0.15691;0.02637;;
1987;;;;
1988;0.177;0.03498;;
1989;;;;
1990;;;;
1991;;;;
1992;0.25616;0.06507;;
1993;0.259;0.06846;;
1994;0.26292;0.06856;;
1995;0.25316;0.07049;;
1996;0.25883;0.07755;;
1997;0.26713;0.07937;;
1998;0.2694;0.08196;;
1999;0.28342;0.08596;;
2000;0.28401;0.08968;;
2001;0.29487;0.09539;;
2002;0.29673;0.09163;;
2003;0.29798;0.08969;;
2004;0.28916;0.08801;;
2005;0.30074;0.09733;;
2006;0.31235;0.1006;;
2007;0.3344;0.1047;;
2008;0.32095;0.09639;;
