Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1980;0.315;0.0665;;
1981;0.3085;0.0637;;
1982;0.3257;0.0687;;
1983;0.3329;0.0705;;
1984;0.3157;0.065;;
1985;0.3128;0.0627;;
1986;0.3103;0.0615;;
1987;0.3116;0.0614;;
1988;0.3051;0.0615;;
1989;0.3052;0.0638;;
1990;0.3105;0.0664;;
1991;0.3246;0.073;;
1992;0.34;0.0783;;
1993;0.3339;0.0755;;
1994;0.3484;0.0793;;
1995;0.3533;0.0819;;
1996;0.3555;0.0848;;
1997;0.3551;0.0873;;
1998;0.3589;0.0967;;
1999;0.3493;0.0944;;
2000;0.338714298792;0.103245725018;;
2001;0.329626685283;0.0973456483948;;
2002;0.334485067873;0.0998450369585;;
2003;0.343466439432;0.102956533911;;
2004;0.355354087256;0.108686001675;;
2005;0.364303405919;0.116014757958;;
2006;0.378656039805;0.125137285128;;
2007;0.366665746517;0.116417458444;;
2008;0.352836009918;0.104819332761;;
2009;0.361283648607;0.105048314207;;
