Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1980;0.2717;0.069;;
1981;0.2631;0.0647;;
1982;0.2614;0.064;;
1983;0.2604;0.0634;;
1984;0.264;0.0654;;
1985;0.2683;0.0681;;
1986;0.272;0.0713;;
1987;0.2812;0.0745;;
1988;0.2891;0.076;;
1989;0.2934;0.0779;;
1990;0.295;0.0778;;
1991;0.2953;0.0784;;
1992;0.2981;0.0781;;
1993;0.3019;0.0792;;
1994;0.3041;0.0799;;
1995;0.3057;0.08134;;
1996;;;;
1997;;;;
1998;0.3201;0.0874;;
1999;0.3244;0.0882;;
2000;0.3294;0.0909;;
2001;0.33;0.0928;;
2002;0.3303;0.0928;;
2003;0.3302;0.0936;;
2004;0.33085;0.0928;;
2005;0.33192;0.0935;;
2006;0.33698;0.09721;;
2007;0.34121;0.09861;;
2008;0.34002;0.09657;;
2009;0.33872;0.09375;;
