Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1980;0.32679;0.08358;;
1981;0.32515;0.08253;;
1982;0.3245;0.08219;;
1983;0.32761;0.08229;;
1984;0.32959;0.0825;;
1985;0.33453;0.08383;;
1986;0.3423;0.08871;;
1987;0.36207;0.10296;;
1988;0.3687;0.10567;;
1989;0.38059;0.11901;;
1990;0.38924;0.12985;;
1991;0.37871;0.12136;;
1992;0.33732;0.08422;;
1993;0.34294;0.08639;;
1994;0.34768;0.08552;;
1995;0.35529;0.08669;;
1996;0.36035;0.08902;;
1997;0.35921;0.08404;;
1998;0.36526;0.08475;;
1999;0.37276;0.08739;;
2000;0.38126;0.09058;;
2001;0.3959;0.09375;;
2002;0.40557;0.09513;;
2003;0.41208;0.09796;;
2004;0.42154;0.10469;;
2005;0.42433;0.11039;;
2006;0.42752;0.11312;;
2007;0.42962;0.11347;;
2008;0.42286;0.10896;;
2009;0.41313;0.10422;;
2010;0.41566;0.10439;;
