Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1980;0.287989381098;0.0747052083428;;
1981;0.286307270517;0.0714295952048;;
1982;0.296552391589;0.0726628612475;;
1983;0.301842243254;0.0745876780342;;
1984;0.291875670816;0.0734835776416;;
1985;0.288434424163;0.071576555152;;
1986;;;;
1987;;;;
1988;;;;
1989;;;;
1990;;;;
1991;;;;
1992;;;;
1993;;;;
1994;;;;
1995;0.29197182321;0.0687622384667;;
1996;0.326357094155;0.0726975352548;;
1997;0.333741874933;0.0749290974263;;
1998;0.31434264004;0.0658187549731;;
1999;0.334496997632;0.0754505390583;;
2000;0.353935592618;0.0818750940338;;
2001;0.362522096379;0.0855483679278;;
2002;0.380001900692;0.0916317664317;;
2003;0.386906989311;0.0922174675335;;
2004;0.39525768477;0.096386397707;;
2005;0.377798338457;0.0996331558011;;
2006;0.419099420396;0.107759302676;;
2007;0.423915900544;0.112831880645;;
2008;0.428621968827;0.11372404984;;
2009;0.426010259273;0.113328179239;;
2010;0.432957086896;0.117593586557;;
2011;0.4422;0.1225;;
2012;0.4487;0.1223;;
