Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1980;;;;
1981;0.2846;0.0585;;
1982;;;;
1983;;;;
1984;;;;
1985;0.291;0.0592;;
1986;;;;
1987;;;;
1988;;;;
1989;0.2848;0.057;;
1990;0.282;0.0556;;
1991;0.2811;0.0554;;
1992;0.2799;0.055;;
1993;0.2796;0.0524;;
1994;0.2828;0.0533;;
1995;0.2845;0.0537;;
1996;0.2824;0.0539;;
1997;0.2821;0.0546;;
1998;0.2803;0.0529;;
1999;0.2809;0.0538;;
2000;0.280181136358;0.0561322221824;;
2001;0.296850115245;0.0664105146496;;
2002;0.298246539215;0.0654528354829;;
2003;0.298434342161;0.0635503363093;;
2004;0.304411696437;0.0665918561214;;
2005;0.306852692918;0.0680697793765;;
2006;0.308379907898;0.0684290884736;;
2007;0.317226697296;0.0756954159255;;
2008;0.306932342488;0.0676292017779;;
2009;0.305579378183;0.06432434163;;
2010;0.307071770104;0.0644809689078;;
2011;0.3060;0.0633;;
2012;0.3090;0.0633;;
