Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1980;0.288309396965;0.0565258548385;;
1981;0.284805834499;0.0550245432322;;
1982;0.287014825357;0.0548644061833;;
1983;0.289240936638;0.0568050331252;;
1984;0.281915552178;0.0559967993339;;
1985;0.275682237095;0.0550965076027;;
1986;0.265066341248;0.0488094630211;;
1987;0.266127074146;0.0547798517421;;
1988;0.262615297301;0.0534615921439;;
1989;0.283355279252;0.0658715530439;;
1990;0.311179527264;0.0821006822716;;
1991;0.314774526926;0.0796082260283;;
1992;0.32489294922;0.0840459887276;;
1993;0.329896467053;0.0875857803277;;
1994;0.32860603506;0.0900059494084;;
1995;0.326223762715;0.089785002522;;
1996;0.32181836805;0.0892483116262;;
1997;0.325749337135;0.0916228285658;;
1998;0.34387889976;0.102142647361;;
1999;0.377668802689;0.134431914461;;
2000;0.311855582941;0.0791834697569;;
2001;0.31811494457;0.0832361293907;;
2002;0.317159277663;0.0834121472868;;
2003;0.319271566739;0.0881444420623;;
2004;0.32465558375;0.0940594799808;;
2005;0.316553643743;0.0866068699603;;
2006;0.303232356243;0.0813969503369;;
2007;0.293739006264;0.0782511241708;;
2008;0.300173374298;0.0810651218088;;
2009;0.297227401187;0.0783709821479;;
2010;0.29188;0.07402;;
2011;0.3094;0.0816;;
2012;0.3205;0.0894;;
2013;0.3079;0.0778;;
2014;0.3154;0.0809;;
