Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1980;0.252559013367;0.0460293769836;;
1981;0.246663284302;0.0447098255157;;
1982;0.243612060547;0.0442524290085;;
1983;0.239960441589;0.0441616153717;;
1984;0.235660190582;0.0438956451416;;
1985;0.236379718781;0.0444969272614;;
1986;0.231129245758;0.0437416601181;;
1987;0.231128692627;0.0441478586197;;
1988;0.227296009064;0.0433238124847;;
1989;0.218262290955;0.0412726211548;;
1990;0.22185382843;0.0428345298767;;
1991;0.222697753906;0.0437348842621;;
1992;0.232732906342;0.0538115406036;;
1993;0.255685119629;0.0697307014465;;
1994;0.26911699295;0.0742669487;;
1995;0.268616523743;0.0735973501205;;
1996;0.278353214264;0.0796260309219;;
1997;0.290850963593;0.0861174869537;;
1998;0.279620552063;0.0799215364456;;
1999;0.283112163544;0.0838495159149;;
2000;0.304505767822;0.103137435913;;
2001;0.268657207489;0.073595032692;;
2002;0.289025726318;0.09612865448;;
2003;0.29822933197;0.103969316483;;
2004;0.317033252716;0.116226081848;;
2005;0.370564994812;0.164857730865;;
2006;0.28223449707;0.0785963106155;;
2007;0.289703006744;0.0854242610931;;
2008;0.271134643555;0.0770185136795;;
2009;0.269535369873;0.0711044359207;;
2010;0.279913063049;0.0774195957184;;
2011;0.283297977448;0.0780341386795;;
