Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1980;0.1877;0.0432;;
1981;0.1884;0.0397;;
1982;0.2099;0.0479;;
1983;;;;
1984;;;;
1985;;;;
1986;;;;
1987;;;;
1988;;;;
1989;0.302;0.0684;;
1990;0.3119;0.0721;;
1991;0.3243;0.0746;;
1992;0.3315;0.0758;;
1993;0.3468;0.0806;;
1994;0.3502;0.0819;;
1995;0.3538;0.0841;;
1996;0.3507;0.0845;;
1997;0.3576;0.0878;;
1998;0.3545;0.0878;;
1999;0.3618;0.0923;;
2000;0.3613;0.0909;;
2001;0.3784;0.0965;;
2002;0.3677;0.0897;;
2003;0.3641;0.0913;;
2004;0.38237;0.09615;;
2005;0.38251;0.09767;;
