Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1981;0.32701;0.07628;;
1982;0.3311;0.07953;;
1983;0.33408;0.07792;;
1984;0.33709;0.07812;;
1985;0.34055;0.08119;;
1986;0.35148;0.08878;;
1987;0.3537;0.09152;;
1988;0.35676;0.09186;;
1989;0.36107;0.0901;;
1990;0.35711;0.08803;;
1991;0.34969;0.08469;;
1992;0.34146;0.08422;;
1993;0.33637;0.08219;;
1994;0.34;0.08271;;
1995;0.33827;0.08287;;
1996;0.33718;0.08286;;
1997;0.33396;0.08431;;
1998;0.33872;0.08844;;
1999;0.34349;0.09345;;
2000;0.34515;0.09749;;
2001;0.34242;0.09632;;
2002;0.33752;0.09322;;
2003;0.34359;0.09914;;
2004;0.34573;0.10228;;
2005;0.35198;0.11;;
2006;0.36821;0.12741;;
2007;0.35249;0.11236;;
2008;0.33755;0.09827;;
2009;0.33119;0.09298;;
2010;0.32585;0.08687;;
