Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1980;0.2282;0.0413;;
1981;0.2248;0.0407;;
1982;0.2244;0.0408;;
1983;0.2276;0.0445;;
1984;0.2259;0.0436;;
1985;0.2278;0.0459;;
1986;0.2279;0.0449;;
1987;0.2311;0.0473;;
1988;0.233;0.0508;;
1989;0.2359;0.0545;;
1990;0.2362;0.052;;
1991;0.2651;0.0695;;
1992;0.253;0.0584;;
1993;0.2551;0.0593;;
1994;0.2714;0.0718;;
1995;0.2579;0.06;;
1996;0.2726;0.0699;;
1997;0.2813;0.0761;;
1998;0.2827;0.0817;;
1999;0.2975;0.093;;
2000;0.3131;0.1112;;
2001;0.2891;0.0862;;
2002;0.2794;0.0759;;
2003;0.2773;0.0762;;
2004;0.2821;0.0787;;
2005;0.2977;0.0899;;
2006;0.3072;0.0953;;
2007;0.3169884;0.099466;;
2008;0.3027562;0.08989559;;
2009;0.3002736;0.08412637;;
2010;0.3099346;0.08983752;;
2011;0.3088504;0.09008527;;
2012;0.3045397;0.08667367;;
2013;0.3062485;0.08726745;;
