Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1994;0.6144872555;0.2825734247;;
1995;;;;
1996;;;;
1997;;;;
1998;;;;
1999;;;;
2000;;;;
2001;;;;
2002;0.5543551553;0.2245347683;;
2003;0.5485240354;0.2196533589;;
2004;0.5317253926;0.214645571;;
2005;0.508701716;0.188885514;;
2006;0.4985432384;0.1796056927;;
2007;0.4901043678;0.1736188269;;
2008;0.4998401012;0.182738537;;
2009;0.5150272496;0.1938407741;;
2010;0.5113667178;0.1990195534;;
2011;0.5141188543;0.1928068831;;
2012;0.5133061667;0.1978211605;;
2013;0.5079008964;0.1902291336;;
2014;0.519740559;0.2098390552;;
2015;0.5258145046;0.2154310301;;
2016;0.5393061988;0.2343523685;;
