Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1980;;;0.521030158997;0.187544441223
1981;0.3103;0.0667;0.531650886536;0.173856143951
1982;0.3123;0.0685;0.51228263855;0.172027168274
1983;0.3176;0.0683;0.506638832092;0.174615592957
1984;0.3252;0.0716;0.467058448792;0.15221619606
1985;0.3265;0.074;0.486812934875;0.157824687958
1986;0.3294;0.0755;0.488240013123;0.163007736206
1987;0.3327;0.0778;0.503588180542;0.166732635498
1988;0.3421;0.0863;0.481853752136;0.15203414917
1989;0.3415;0.0867;0.485264167786;0.165928421021
1990;0.369;0.098;0.459857292175;0.163473300934
1991;0.3765;0.1032;0.455891189575;0.155803174973
1992;0.3764;0.0986;0.479958229065;0.169916744232
1993;0.3834;0.1036;0.498296165466;0.182895431519
1994;0.3833;0.106;0.49545337677;0.176450881958
1995;0.3851;0.1075;0.469169769287;0.162255592346
1996;0.393;0.119;0.483787956238;0.165480728149
1997;0.3894;0.1207;0.515730209351;0.192691383362
1998;0.3947;0.1253;0.518868370056;0.199612388611
1999;0.413293740127;0.132385957959;0.500719718933;0.19302942276
2000;0.409839038944;0.135084412231;0.505550765991;0.184968185425
2001;0.414106554282;0.133861091677;0.502399559021;0.188568172455
2002;0.41011289619;0.130258195142;0.508456230164;0.180453090668
2003;0.414021536422;0.132389421899;0.502552986145;0.167896499634
2004;0.408272317241;0.133003764783;;
2005;0.416089552043;0.142237538053;0.511891441345;0.187656650543
2006;0.4199;0.1482;0.519772949219;0.198744087219
2007;0.4261;0.1544;;
2008;;;;
2009;0.4153;0.1542;0.540134887695;0.205814266205
2010;0.3808;0.1255;;
2011;0.3915;0.1293;;
2012;0.391305656569;0.126969002244;0.51916015625;0.198812427521
2013;0.4129;0.1453;;
2014;0.3999;0.1388;;
