Year;"Pre-tax national income 
Top 10% share";"Pre-tax national income 
Top 1% share";"Net personal wealth
Top 10% share";"Net personal wealth
Top 1% share"
1980;0.342429999262;0.106709999964;0.651020001271;0.235540000373
1981;0.347229996871;0.110519999813;0.64781000535;0.244169999612
1982;0.348980000766;0.112639999541;0.635269995662;0.246899997699
1983;0.354209996469;0.115140000067;0.626870003878;0.237369998707
1984;0.366600002628;0.124960001092;0.620890001301;0.238650000188
1985;0.366570001584;0.125530000892;0.617734991596;0.242824998335
1986;0.364729996712;0.122089998738;0.613779996987;0.240620001685
1987;0.376120001776;0.133069998352;0.621830005082;0.253399999696
1988;0.38949000428;0.148759999895;0.63288999442;0.271869999357
1989;0.386709999642;0.144649999565;0.633230001782;0.272980000009
1990;0.387130000105;0.145420000365;0.635509997606;0.274339998141
1991;0.38555999758;0.138910000271;0.634939995711;0.268789998372
1992;0.397750001284;0.150129999849;0.651130003156;0.286160004558
1993;0.395589997468;0.146440000681;0.654820001451;0.288349999813
1994;0.398590001161;0.146870001103;0.655439998489;0.288410003763
1995;0.406569996849;0.152829999104;0.659020002466;0.29142999975
1996;0.415489999345;0.1596699988;0.664110000711;0.300210000481
1997;0.422690001316;0.166290001012;0.669860007241;0.309730000794
1998;0.426320001483;0.169229999185;0.67997999792;0.326140000718
1999;0.433510003029;0.177090001642;0.686400003731;0.33900000155
2000;0.43884999922;0.182659999118;0.687929997686;0.344400000293
2001;0.427989998832;0.172679999843;0.678250000114;0.333680000389
2002;0.427250002511;0.170580000617;0.678139996016;0.322739998112
2003;0.428650001064;0.172020001337;0.679309997708;0.321539998055
2004;0.439029999659;0.183219999657;0.685959998751;0.331719998503
2005;0.45061000064;0.193719999865;0.685119999107;0.335339996498
2006;0.460290002287;0.201000001864;0.689009996597;0.340860000346
2007;0.457950000535;0.198670000653;0.697929996997;0.351009998471
2008;0.453060003929;0.195199999027;0.727630001027;0.373800000641
2009;0.443399996264;0.18540999922;0.736389995553;0.373429995961
2010;0.457509996486;0.197999999044;0.741810003528;0.39004999795
2011;0.459240001976;0.19599999988;0.741279995069;0.388309996575
2012;0.471439999877;0.207789999782;0.744580001803;0.40098000248
2013;0.463160000625;0.195920001599;0.732010000851;0.382770001423
2014;0.470169995097;0.201999997837;0.7298500014;0.385620001471
